AGM00060475	,90.18796992481202,90.18796992481202
AGM00060535	,80.44090909090909,80.44090909090909
AGM00060670	,140.72357723577235,140.72357723577235
AJ000037639	,97.2127659574468,97.2127659574468
AJ000037747	,132.7906976744186,132.7906976744186
AJ000037753	,-23.4,-23.4
AJ000037936	,77.13636363636364,77.13636363636364
AJ000037957	,85.1311475409836,85.1311475409836
AJ000037978	,83.625,83.625
AJ000037984	,34.525,34.525
ALE00100939	,None,NaN
AM000037699	,-13.923076923076923,-13.923076923076923
AR000087374	,132.5095890410959,132.5095890410959
AR000087623	,94.01095890410959,94.01095890410959
AR000087692	,88.36712328767123,88.36712328767123
AR000087860	,77.13424657534246,77.13424657534246
ARM00087162	,168.61467889908258,168.61467889908258
ARM00087222	,140.35616438356163,140.35616438356163
ARM00087453	,108.13513513513513,108.13513513513513
ARM00087480	,111.01709401709402,111.01709401709402
ARM00087576	,112.09311740890688,112.09311740890688
ARM00087582	,132.98192771084337,132.98192771084337
ARM00087765	,18.507177033492823,18.507177033492823
ARM00087852	,30.093167701863354,30.093167701863354
ASN00003057	,206.21978021978023,206.21978021978023
ASN00004020	,214.1041095890411,214.1041095890411
ASN00004035	,212.55096418732782,212.55096418732782
ASN00005007	,177.85479452054796,177.85479452054796
ASN00005061	,207.33441558441558,207.33441558441558
ASN00007080	,157.65400843881858,157.65400843881858
ASN00008025	,130.42613636363637,130.42613636363637
ASN00009111	,106.12707182320442,106.12707182320442
ASN00009510	,91.44628099173553,91.44628099173553
ASN00009519	,131.7041095890411,131.7041095890411
ASN00009573	,102.87362637362638,102.87362637362638
ASN00009741	,109.24383561643836,109.24383561643836
ASN00009885	,134.60555555555555,134.60555555555555
ASN00010035	,117.97167138810198,117.97167138810198
ASN00010515	,106.19444444444444,106.19444444444444
ASN00010536	,105.13091922005572,105.13091922005572
ASN00014850	,209.8,209.8
ASN00015660	,177.140350877193,177.140350877193
ASN00016044	,116.4968944099379,116.4968944099379
ASN00016065	,141.5631868131868,141.5631868131868
ASN00019062	,75.12876712328767,75.12876712328767
ASN00023103	,88.0505617977528,88.0505617977528
ASN00023733	,85.89835164835165,85.89835164835165
ASN00025509	,95.01923076923077,95.01923076923077
ASN00026013	,78.99722991689751,78.99722991689751
ASN00026082	,82.83561643835617,82.83561643835617
ASN00027006	,200.8409090909091,200.8409090909091
ASN00029004	,203.66575342465754,203.66575342465754
ASN00029025	,174.825,174.825
ASN00029127	,173.6876712328767,173.6876712328767
ASN00031029	,141.32600732600733,141.32600732600733
ASN00031083	,148.0849315068493,148.0849315068493
ASN00032040	,195.45205479452054,195.45205479452054
ASN00035019	,153.45479452054795,153.45479452054795
ASN00039123	,188.77534246575343,188.77534246575343
ASN00039171	,142.9254143646409,142.9254143646409
ASN00040068	,190.0255681818182,190.0255681818182
ASN00041175	,87.45505617977528,87.45505617977528
ASN00043044	,120.72769953051643,120.72769953051643
ASN00045015	,155.46575342465752,155.46575342465752
ASN00047007	,125.5,125.5
ASN00048027	,131.6986301369863,131.6986301369863
ASN00052020	,136.5,136.5
ASN00056229	,66.45251396648045,66.45251396648045
ASN00058131	,148.09150326797385,148.09150326797385
ASN00061089	,114.76098901098901,114.76098901098901
ASN00061242	,112.1013698630137,112.1013698630137
ASN00061371	,112.45238095238095,112.45238095238095
ASN00063039	,81.69722222222222,81.69722222222222
ASN00065016	,119.29962546816479,119.29962546816479
ASN00065091	,86.15934065934066,86.15934065934066
ASN00067035	,123.51780821917808,123.51780821917808
ASN00068034	,140.65625,140.65625
ASN00068076	,113.81369863013698,113.81369863013698
ASN00072000	,73.46005509641873,73.46005509641873
ASN00072150	,92.62739726027397,92.62739726027397
ASN00073014	,97.28979591836735,97.28979591836735
ASN00073056	,75.62621359223301,75.62621359223301
ASN00074034	,87.1671388101983,87.1671388101983
ASN00076047	,99.92857142857143,99.92857142857143
ASN00078072	,88.13150684931507,88.13150684931507
ASN00079023	,75.88767123287671,75.88767123287671
ASN00082011	,73.6082191780822,73.6082191780822
ASN00083025	,48.01917808219178,48.01917808219178
ASN00083067	,58.83661971830986,58.83661971830986
ASN00084030	,93.4478021978022,93.4478021978022
ASN00086361	,96.1524926686217,96.1524926686217
ASN00087021	,78.76373626373626,78.76373626373626
ASN00087036	,63.71232876712329,63.71232876712329
ASN00087117	,96.64109589041095,96.64109589041095
ASN00090174	,80.54794520547945,80.54794520547945
ASN00090180	,105.65902578796562,105.65902578796562
ASN00091092	,70.37569060773481,70.37569060773481
ASN00091104	,60.5013698630137,60.5013698630137
ASN00091119	,47.942465753424656,47.942465753424656
ASN00091269	,70.39285714285714,70.39285714285714
ASN00092037	,111.77777777777777,111.77777777777777
ASN00094008	,79.25753424657535,79.25753424657535
ASN00094020	,66.59668508287292,66.59668508287292
ASN00094029	,85.81369863013698,85.81369863013698
ASN00094041	,79.8625730994152,79.8625730994152
ASN00094137	,62.6271186440678,62.6271186440678
ASN00097053	,58.36158192090395,58.36158192090395
AU000005901	,63.66027397260274,63.66027397260274
AU000006306	,46.49589041095891,46.49589041095891
AYM00089054	,-55.06551724137931,-55.06551724137931
AYM00089642	,-56.56,-56.56
AYM00089657	,-92.0,-92.0
BGM00041859	,203.2132701421801,203.2132701421801
BL000085114	,204.52083333333334,204.52083333333334
BL000085141	,198.3344262295082,198.3344262295082
BLM00085201	,2.47741935483871,2.47741935483871
BLM00085264	,109.03603603603604,109.03603603603604
BLM00085345	,165.0,165.0
BMM00048042	,225.8258064516129,225.8258064516129
BOM00026659	,34.640151515151516,34.640151515151516
BOM00026941	,32.43298969072165,32.43298969072165
BR001657003	,143.0,143.0
BR002548005	,188.5,188.5
BR00C4-0630	,158.96186440677965,158.96186440677965
BR00E3-0520	,165.7443181818182,165.7443181818182
BR00E4-1230	,164.79661016949152,164.79661016949152
BR026393280	,234.0,
BR038484280	,194.43333333333334,194.43333333333334
BR039402250	,227.70731707317074,227.70731707317074
BR047266270	,189.0,189.0
BRM00082193	,235.4108108108108,235.4108108108108
BRM00082361	,223.5,223.5
BRM00083618	,158.0,
BUM00015614	,30.571428571428573,30.571428571428573
CA001017099	,103.6412213740458,103.6412213740458
CA001018935	,55.46948356807512,55.46948356807512
CA001021950	,75.06849315068493,75.06849315068493
CA001022436	,39.551886792452834,39.551886792452834
CA001023042	,57.6867816091954,57.6867816091954
CA001024638	,42.97520661157025,42.97520661157025
CA001026270	,53.78630136986301,53.78630136986301
CA001030230	,39.89010989010989,39.89010989010989
CA001035612	,55.23287671232877,55.23287671232877
CA001036206	,48.38082191780822,48.38082191780822
CA001036572	,71.38356164383562,71.38356164383562
CA001040R09	,70.1086956521739,70.1086956521739
CA001044840	,74.64383561643835,74.64383561643835
CA001048140	,64.54794520547945,64.54794520547945
CA001048974	,55.6910569105691,55.6910569105691
CA001057050	,56.31232876712329,56.31232876712329
CA001060080	,64.16438356164383,64.16438356164383
CA001072692	,-18.038585209003216,-18.038585209003216
CA001076886	,17.273972602739725,17.273972602739725
CA001085835	,-14.907407407407407,-14.907407407407407
CA001094616	,-11.634615384615385,-11.634615384615385
CA001094955	,-13.296703296703297,-13.296703296703297
CA001100Q7Q	,-56.30573248407644,-56.30573248407644
CA001108446	,75.14689265536722,75.14689265536722
CA00110EF57	,70.28145695364239,70.28145695364239
CA001113540	,62.12396694214876,62.12396694214876
CA001114743	,53.15261044176707,53.15261044176707
CA001123992	,39.43835616438356,39.43835616438356
CA001125381	,62.29938271604938,62.29938271604938
CA001125570	,-6.414790996784566,-6.414790996784566
CA001126077	,-14.28374655647383,-14.28374655647383
CA001142160	,26.465753424657535,26.465753424657535
CA001142574	,11.753424657534246,11.753424657534246
CA001145442	,37.48546511627907,37.48546511627907
CA001152102	,-0.12637362637362637,-0.12637362637362637
CA001160670	,6.767123287671233,6.767123287671233
CA001163595	,-23.835616438356166,-23.835616438356166
CA001163790	,16.647727272727273,16.647727272727273
CA00116JF55	,4.714285714285714,4.714285714285714
CA001173210	,-0.3698630136986301,-0.3698630136986301
CA001178931	,-58.3248730964467,-58.3248730964467
CA00117CA90	,-25.424657534246574,-25.424657534246574
CA001180881	,-29.27777777777778,-29.27777777777778
CA001181508	,-24.706849315068492,-24.706849315068492
CA001182285	,-37.86027397260274,-37.86027397260274
CA001183629	,-19.077809798270895,-19.077809798270895
CA001184790	,-25.03835616438356,-25.03835616438356
CA001203255	,-16.04014598540146,-16.04014598540146
CA001208202	,-55.70247933884298,-55.70247933884298
CA002100174	,-67.73504273504274,-67.73504273504274
CA002100300	,-86.6403162055336,-86.6403162055336
CA002100402	,-106.88461538461539,-106.88461538461539
CA002201700	,-162.70909090909092,-162.70909090909092
CA002202801	,-104.15032679738562,-104.15032679738562
CA002400306	,-203.2214983713355,-203.2214983713355
CA002400570	,-198.35911602209944,-198.35911602209944
CA002402346	,-177.46875,-177.46875
CA002402730	,-172.46951219512195,-172.46951219512195
CA002403201	,-179.14794520547946,-179.14794520547946
CA002502501	,-167.77747252747253,-167.77747252747253
CA002503650	,-168.2528735632184,-168.2528735632184
CA003010616	,-44.30835734870317,-44.30835734870317
CA003011120	,-31.418732782369148,-31.418732782369148
CA003011474	,-36.79442508710802,-36.79442508710802
CA003011663	,23.395061728395063,23.395061728395063
CA00301C3D4	,-32.83720930232558,-32.83720930232558
CA00301FFNJ	,-18.211656441717793,-18.211656441717793
CA003020864	,-33.85964912280702,-33.85964912280702
CA003022400	,-13.352272727272727,-13.352272727272727
CA003024920	,-18.4958217270195,-18.4958217270195
CA003024962	,-45.55762081784387,-45.55762081784387
CA003026540	,-16.722689075630253,-16.722689075630253
CA003031658	,-10.05586592178771,-10.05586592178771
CA003031805	,-9.315642458100559,-9.315642458100559
CA003031FPF	,-14.19943820224719,-14.19943820224719
CA003043667	,-15.29315960912052,-15.29315960912052
CA003052940	,45.833333333333336,45.833333333333336
CA003053600	,-25.229885057471265,-25.229885057471265
CA003054845	,-54.77777777777778,-54.77777777777778
CA003055379	,5.546875,5.546875
CA003056510	,57.76470588235294,57.76470588235294
CA003061580	,80.18518518518519,80.18518518518519
CA003062300	,90.28301886792453,90.28301886792453
CA003065000	,60.36842105263158,60.36842105263158
CA003065693	,30.065359477124183,30.065359477124183
CA003066380	,86.21621621621621,86.21621621621621
CA003066500	,73.14960629921259,73.14960629921259
CA003066710	,63.75661375661376,63.75661375661376
CA003066935	,44.81132075471698,44.81132075471698
CA003070043	,65.48076923076923,65.48076923076923
CA003070970	,66.4,66.4
CA003070NLN	,21.666666666666668,21.666666666666668
CA003071150	,106.25,106.25
CA003072920	,-32.46849315068493,-32.46849315068493
CA003073346	,84.0,84.0
CA003074750	,83.56589147286822,83.56589147286822
CA004011980	,-24.71299093655589,-24.71299093655589
CA004012988	,-32.42424242424242,-32.42424242424242
CA004013660	,-33.41225626740947,-33.41225626740947
CA0040140D3	,-99.11392405063292,-99.11392405063292
CA004017704	,-26.214689265536723,-26.214689265536723
CA004018508	,-26.187683284457478,-26.187683284457478
CA004018880	,-27.741046831955924,-27.741046831955924
CA004022936	,-23.516320474777448,-23.516320474777448
CA004023500	,-15.271084337349398,-15.271084337349398
CA004032323	,-14.647887323943662,-14.647887323943662
CA004038116	,-16.615598885793872,-16.615598885793872
CA004043246	,-41.95266272189349,-41.95266272189349
CA004043900	,-27.53972602739726,-27.53972602739726
CA004053080	,-40.160349854227405,-40.160349854227405
CA004064150	,-54.07671232876712,-54.07671232876712
CA004067576	,-56.326530612244895,-56.326530612244895
CA004068560	,-49.63028169014085,-49.63028169014085
CA005012080	,-23.36111111111111,-23.36111111111111
CA005012620	,-22.100313479623825,-22.100313479623825
CA005020720	,-37.26229508196721,-37.26229508196721
CA005020870	,-17.877492877492877,-17.877492877492877
CA005021227	,-41.416666666666664,-41.416666666666664
CA005021695	,-19.720670391061454,-19.720670391061454
CA005022043	,-50.12048192771084,-50.12048192771084
CA005022760	,-21.957142857142856,-21.957142857142856
CA005030203	,-47.917808219178085,-47.917808219178085
CA005030869	,88.11111111111111,88.11111111111111
CA005032162	,-26.181556195965417,-26.181556195965417
CA005042485	,-32.375366568914956,-32.375366568914956
CA005042800	,-29.258160237388726,-29.258160237388726
CA005043226	,-38.95894428152493,-38.95894428152493
CA005052880	,-47.632876712328766,-47.632876712328766
CA005061067	,-48.03030303030303,-48.03030303030303
CA005061649	,8.455813953488372,8.455813953488372
CA005062111	,-117.45989304812834,-117.45989304812834
CA00506B047	,-63.054794520547944,-63.054794520547944
CA006010738	,-64.55840455840456,-64.55840455840456
CA006033697	,-24.281524926686217,-24.281524926686217
CA006053575	,-42.55780346820809,-42.55780346820809
CA006057592	,-2.0,-2.0
CA006072460	,-74.60725075528701,-74.60725075528701
CA006073810	,-52.8133704735376,-52.8133704735376
CA006073960	,-50.57344632768361,-50.57344632768361
CA006073975	,-49.726027397260275,-49.726027397260275
CA006074209	,-28.15934065934066,-28.15934065934066
CA006082612	,7.556818181818182,7.556818181818182
CA006092920	,-162.59731543624162,-162.59731543624162
CA006101335	,8.53185595567867,8.53185595567867
CA006102808	,26.15068493150685,26.15068493150685
