AGM00060402	,125.65714285714286,125.65714285714286
AGM00060444	,93.45714285714286,93.45714285714286
AGM00060531	,117.70769230769231,117.70769230769231
AJ000037575	,97.48148148148148,97.48148148148148
AJ000037866	,118.34883720930233,118.34883720930233
AJ000037905	,141.28571428571428,141.28571428571428
AJ000037947	,121.78571428571429,121.78571428571429
AJ000037989	,118.75890410958904,118.75890410958904
ALM00013615	,15.75,15.75
AM000037815	,-44.61764705882353,-44.61764705882353
AM000037959	,63.71052631578947,63.71052631578947
AR000087418	,109.9972602739726,109.9972602739726
AR000087715	,79.47701149425288,79.47701149425288
AR000087925	,20.216901408450703,20.216901408450703
AR000875440	,84.89085545722713,84.89085545722713
ARM00087320	,124.20967741935483,124.20967741935483
ARM00087416	,81.98378378378378,81.98378378378378
ARM00087593	,91.45744680851064,91.45744680851064
ARM00087938	,3.280821917808219,3.280821917808219
ASN00001013	,235.62777777777777,235.62777777777777
ASN00002012	,204.65479452054794,204.65479452054794
ASN00003080	,206.9090909090909,206.9090909090909
ASN00004019	,196.3313432835821,196.3313432835821
ASN00006044	,174.02493074792244,174.02493074792244
ASN00007058	,173.89736070381232,173.89736070381232
ASN00007139	,135.32311977715878,135.32311977715878
ASN00007151	,190.07945205479453,190.07945205479453
ASN00008138	,123.08358208955224,123.08358208955224
ASN00008225	,138.22285714285715,138.22285714285715
ASN00009542	,101.91914893617022,101.91914893617022
ASN00010073	,118.55277777777778,118.55277777777778
ASN00010568	,103.0,103.0
ASN00011003	,120.74585635359117,120.74585635359117
ASN00011045	,109.64556962025317,109.64556962025317
ASN00012038	,125.57534246575342,125.57534246575342
ASN00012065	,115.11699164345404,115.11699164345404
ASN00012071	,103.20056497175142,103.20056497175142
ASN00012281	,108.37709497206704,108.37709497206704
ASN00014015	,233.67123287671234,233.67123287671234
ASN00014042	,219.619335347432,219.619335347432
ASN00014090	,203.06424581005587,203.06424581005587
ASN00014840	,189.3153409090909,189.3153409090909
ASN00015590	,142.37534246575342,142.37534246575342
ASN00015602	,142.72099447513813,142.72099447513813
ASN00016007	,146.04657534246576,146.04657534246576
ASN00017096	,151.37845303867402,151.37845303867402
ASN00017114	,194.00833333333333,194.00833333333333
ASN00018011	,113.33333333333333,113.33333333333333
ASN00021014	,79.71084337349397,79.71084337349397
ASN00029090	,164.8262195121951,164.8262195121951
ASN00031010	,143.0,
ASN00033002	,175.54896142433233,175.54896142433233
ASN00033065	,173.48640483383687,173.48640483383687
ASN00033119	,190.9532967032967,190.9532967032967
ASN00036143	,149.5540166204986,149.5540166204986
ASN00039128	,167.48076923076923,167.48076923076923
ASN00040043	,185.82093663911846,185.82093663911846
ASN00040211	,145.92032967032966,145.92032967032966
ASN00040436	,128.85753424657534,128.85753424657534
ASN00040478	,179.78787878787878,179.78787878787878
ASN00043034	,142.8846153846154,142.8846153846154
ASN00053030	,120.02465753424657,120.02465753424657
ASN00054104	,97.33972602739726,97.33972602739726
ASN00062021	,91.3342541436464,91.3342541436464
ASN00063224	,67.81626506024097,67.81626506024097
ASN00063293	,68.80225988700565,68.80225988700565
ASN00065012	,101.66208791208791,101.66208791208791
ASN00067019	,124.27323943661972,124.27323943661972
ASN00069002	,88.26795580110497,88.26795580110497
ASN00069017	,135.51917404129793,135.51917404129793
ASN00070217	,36.94202898550725,36.94202898550725
ASN00070310	,61.873925501432666,61.873925501432666
ASN00075050	,135.36486486486487,135.36486486486487
ASN00076064	,98.57458563535911,98.57458563535911
ASN00077042	,100.86813186813187,100.86813186813187
ASN00078077	,90.31780821917808,90.31780821917808
ASN00079028	,82.16438356164383,82.16438356164383
ASN00083084	,21.63294797687861,21.63294797687861
ASN00084083	,105.99175824175825,105.99175824175825
ASN00086351	,94.04395604395604,94.04395604395604
ASN00086372	,80.90598290598291,80.90598290598291
ASN00089018	,78.80722891566265,78.80722891566265
ASN00089105	,88.6842105263158,88.6842105263158
