AGM00060430	,131.2304964539007,131.2304964539007
AGM00060445	,83.69858156028369,83.69858156028369
AGM00060511	,77.89393939393939,77.89393939393939
AGM00060607	,154.74008810572687,154.74008810572687
AGM00060640	,143.72727272727272,143.72727272727272
AJ000037744	,136.60377358490567,136.60377358490567
AJ000037759	,41.375,41.375
AM000037801	,-2.6986301369863015,-2.6986301369863015
AR000000008	,123.38888888888889,
AR000087155	,157.52328767123288,157.52328767123288
AR000087257	,131.13150684931506,131.13150684931506
AR000087344	,114.53698630136986,114.53698630136986
AR000087803	,19.162087912087912,19.162087912087912
AR000873050	,73.42906574394463,73.42906574394463
ARM00087648	,109.10434782608695,109.10434782608695
ARM00087903	,24.882653061224488,24.882653061224488
ASN00003069	,241.42816091954023,241.42816091954023
ASN00004032	,199.02203856749313,199.02203856749313
ASN00004074	,224.6426592797784,224.6426592797784
ASN00006072	,202.41632653061225,202.41632653061225
ASN00008091	,124.68732394366197,124.68732394366197
ASN00009021	,128.31506849315068,128.31506849315068
ASN00009186	,115.8375,115.8375
ASN00009192	,126.20731707317073,126.20731707317073
ASN00009789	,124.22465753424657,124.22465753424657
ASN00010614	,100.83240223463687,100.83240223463687
ASN00011004	,110.27945205479452,110.27945205479452
ASN00011019	,110.78571428571429,110.78571428571429
ASN00013017	,170.9478021978022,170.9478021978022
ASN00014400	,216.79941002949852,216.79941002949852
ASN00015603	,150.67323943661972,150.67323943661972
ASN00016098	,None,NaN
ASN00018012	,108.1945205479452,108.1945205479452
ASN00018069	,119.47945205479452,119.47945205479452
ASN00018120	,185.0,185.0
ASN00022008	,118.4090909090909,118.4090909090909
ASN00023013	,121.91483516483517,121.91483516483517
ASN00023034	,117.24931506849315,117.24931506849315
ASN00023703	,107.32520325203252,107.32520325203252
ASN00023751	,118.26098901098901,118.26098901098901
ASN00025554	,79.22594142259415,79.22594142259415
ASN00026019	,89.58659217877096,89.58659217877096
ASN00031011	,205.61707988980717,205.61707988980717
ASN00032004	,193.56629834254144,193.56629834254144
ASN00032025	,193.65384615384616,193.65384615384616
ASN00033255	,217.96067415730337,217.96067415730337
ASN00034002	,173.42465753424656,173.42465753424656
ASN00034038	,158.41340782122904,158.41340782122904
ASN00035070	,138.06043956043956,138.06043956043956
ASN00039006	,138.24719101123594,138.24719101123594
ASN00039069	,158.6651376146789,158.6651376146789
ASN00040308	,137.66027397260274,137.66027397260274
ASN00041103	,129.18263473053892,129.18263473053892
ASN00043020	,116.42191780821918,116.42191780821918
ASN00043035	,125.42414860681114,125.42414860681114
ASN00047019	,120.4963768115942,120.4963768115942
ASN00049002	,91.26938775510204,91.26938775510204
ASN00052026	,128.34177215189874,128.34177215189874
ASN00054003	,86.29120879120879,86.29120879120879
ASN00055023	,117.74157303370787,117.74157303370787
ASN00058158	,140.73626373626374,140.73626373626374
ASN00059040	,139.42191780821918,139.42191780821918
ASN00060030	,124.81593406593407,124.81593406593407
ASN00061086	,113.13888888888889,113.13888888888889
ASN00063231	,67.72602739726027,67.72602739726027
ASN00064008	,84.66575342465754,84.66575342465754
ASN00065034	,97.01108033240997,97.01108033240997
ASN00066156	,111.45757575757575,111.45757575757575
ASN00068220	,137.6424870466321,137.6424870466321
ASN00069018	,117.92054794520548,117.92054794520548
ASN00069093	,103.37464788732395,103.37464788732395
ASN00069132	,63.74174174174174,63.74174174174174
ASN00070014	,71.62465753424658,71.62465753424658
ASN00072060	,75.27397260273973,75.27397260273973
ASN00073032	,98.87430167597765,98.87430167597765
ASN00073128	,86.9013698630137,86.9013698630137
ASN00074106	,93.7095890410959,93.7095890410959
ASN00075039	,109.98924731182795,109.98924731182795
ASN00081003	,85.27242524916943,85.27242524916943
ASN00082002	,86.98630136986301,86.98630136986301
ASN00083085	,19.82515337423313,19.82515337423313
ASN00086142	,77.04507042253522,77.04507042253522
ASN00086373	,112.06876790830945,112.06876790830945
ASN00088068	,74.79005524861878,74.79005524861878
ASN00090015	,105.16438356164383,105.16438356164383
ASN00090171	,92.53846153846153,92.53846153846153
ASN00091245	,102.38392857142857,102.38392857142857
ASN00092100	,48.53623188405797,48.53623188405797
ASN00093027	,49.20165745856354,49.20165745856354
ASN00096003	,27.153424657534245,27.153424657534245
ASN00098001	,103.0086455331412,103.0086455331412
AUM00011028	,56.34013605442177,56.34013605442177
AYM00089066	,-91.8974358974359,-91.8974358974359
AYM00089606	,-587.0233918128655,-587.0233918128655
BA000041150	,233.33333333333334,233.33333333333334
BGM00041883	,206.0327868852459,206.0327868852459
BLM00085153	,190.5421052631579,190.5421052631579
BLM00085195	,186.72142857142856,186.72142857142856
BLM00085207	,188.19272727272727,188.19272727272727
BLM00085315	,160.90283400809716,160.90283400809716
BN000065306	,217.08677685950414,217.08677685950414
BOM00026554	,34.858736059479554,34.858736059479554
BOM00026701	,63.95068493150685,63.95068493150685
BOM00026887	,22.53531598513011,22.53531598513011
BOM00033019	,44.553030303030305,44.553030303030305
BR001846000	,141.0,141.0
BR002554002	,153.66666666666666,153.66666666666666
BR028724960	,211.0,211.0
BR037335980	,None,NaN
BR038983570	,216.7085201793722,216.7085201793722
BR047403040	,196.0,196.0
BRM00082331	,249.0,249.0
BRM00083264	,212.66666666666666,212.66666666666666
BRM00083702	,122.0,
CA001016940	,62.63085399449036,62.63085399449036
CA001018620	,54.11232876712329,54.11232876712329
CA00101HFEE	,71.86246418338109,71.86246418338109
CA001025370	,55.76438356164383,55.76438356164383
CA001031316	,60.16438356164384,60.16438356164384
CA001036218	,44.40828402366864,44.40828402366864
CA001046391	,58.394520547945206,58.394520547945206
CA001047660	,53.064516129032256,53.064516129032256
CA001051350	,66.73698630136987,66.73698630136987
