AEM00041194	,212.17094017094018,212.17094017094018
AG000060611	,143.0054794520548,143.0054794520548
AG000060680	,147.6109589041096,147.6109589041096
AGM00060360	,122.2589641434263,122.2589641434263
AGM00060630	,185.91780821917808,185.91780821917808
AJ000037740	,92.69791666666667,92.69791666666667
AJ000037749	,114.25742574257426,114.25742574257426
AJ000037899	,68.275,68.275
AJ000037923	,170.36363636363637,170.36363636363637
AM000037686	,12.394520547945206,12.394520547945206
AM000037704	,33.65,33.65
AM000037719	,-18.790697674418606,-18.790697674418606
ARM00087311	,98.2258064516129,98.2258064516129
ARM00087395	,131.72908366533864,131.72908366533864
ARM00087497	,123.92553191489361,123.92553191489361
ARM00087509	,82.45392491467577,82.45392491467577
ARM00087563	,84.94117647058823,84.94117647058823
ARM00087896	,37.669064748201436,37.669064748201436
ASN00001025	,182.6951566951567,182.6951566951567
ASN00004043	,199.61812297734627,199.61812297734627
ASN00005084	,68.85135135135135,68.85135135135135
ASN00007178	,197.2876712328767,197.2876712328767
ASN00009053	,121.01063829787235,121.01063829787235
ASN00009197	,135.91946308724832,135.91946308724832
ASN00009581	,103.7406340057637,103.7406340057637
ASN00009887	,130.2556818181818,130.2556818181818
ASN00010058	,100.77272727272727,100.77272727272727
ASN00010592	,107.93698630136986,107.93698630136986
ASN00012305	,140.16260162601625,140.16260162601625
ASN00013007	,192.01453488372093,192.01453488372093
ASN00014198	,229.94642857142858,229.94642857142858
ASN00014507	,225.72641509433961,225.72641509433961
ASN00014825	,201.0924092409241,201.0924092409241
ASN00015548	,158.92602739726027,158.92602739726027
ASN00015635	,123.07103825136612,123.07103825136612
ASN00018044	,100.6082191780822,100.6082191780822
ASN00018110	,98.22222222222223,98.22222222222223
ASN00023321	,92.03561643835616,92.03561643835616
ASN00023801	,97.53972602739726,97.53972602739726
ASN00023816	,104.91335740072202,104.91335740072202
ASN00024518	,108.36184210526316,108.36184210526316
ASN00026021	,84.63013698630137,84.63013698630137
ASN00026036	,85.21768707482993,85.21768707482993
ASN00028007	,203.1184210526316,203.1184210526316
ASN00029012	,201.66381766381767,201.66381766381767
ASN00031037	,234.00831024930747,234.00831024930747
ASN00032078	,187.72527472527472,187.72527472527472
ASN00035027	,161.6876712328767,161.6876712328767
ASN00035069	,128.37534246575342,128.37534246575342
ASN00036026	,148.97211155378486,148.97211155378486
ASN00037010	,177.625,177.625
ASN00038003	,171.2335164835165,171.2335164835165
ASN00038024	,154.91780821917808,154.91780821917808
ASN00039059	,209.63400576368875,209.63400576368875
ASN00039104	,130.69230769230768,130.69230769230768
ASN00039314	,187.7130177514793,187.7130177514793
ASN00040040	,169.31014492753624,169.31014492753624
ASN00040082	,134.0560224089636,134.0560224089636
ASN00040100	,136.3577981651376,136.3577981651376
ASN00040190	,158.37396121883657,158.37396121883657
ASN00040223	,155.02191780821917,155.02191780821917
ASN00040265	,142.86574074074073,142.86574074074073
ASN00045017	,147.6931506849315,147.6931506849315
ASN00046037	,146.52602739726026,146.52602739726026
ASN00046043	,127.8172757475083,127.8172757475083
ASN00055049	,92.12637362637362,92.12637362637362
ASN00055136	,48.156164383561645,48.156164383561645
ASN00057095	,128.14835164835165,128.14835164835165
ASN00059030	,161.8388888888889,161.8388888888889
ASN00061055	,149.9808219178082,149.9808219178082
ASN00061223	,143.8870523415978,143.8870523415978
ASN00061250	,122.59504132231405,122.59504132231405
ASN00063005	,69.37808219178082,69.37808219178082
ASN00063053	,70.02314814814815,70.02314814814815
ASN00068102	,86.08516483516483,86.08516483516483
ASN00068192	,106.95428571428572,106.95428571428572
ASN00071072	,-2.0388349514563107,-2.0388349514563107
ASN00072023	,106.15342465753425,106.15342465753425
ASN00072146	,86.95290858725762,86.95290858725762
ASN00075041	,96.06521739130434,96.06521739130434
ASN00080015	,87.46978021978022,87.46978021978022
ASN00082076	,75.69315068493151,75.69315068493151
ASN00085106	,71.40223463687151,71.40223463687151
ASN00085277	,72.22465753424657,72.22465753424657
ASN00085283	,90.27348066298343,90.27348066298343
ASN00086282	,94.8072625698324,94.8072625698324
ASN00088043	,79.44657534246575,79.44657534246575
ASN00090176	,70.53012048192771,70.53012048192771
ASN00091112	,77.9010989010989,77.9010989010989
ASN00092003	,93.0986301369863,93.0986301369863
