AF000040930	,-86.125,-86.125
AG000060390	,114.08493150684932,114.08493150684932
AGM00060355	,142.55839416058393,142.55839416058393
AGM00060490	,122.9324894514768,122.9324894514768
AGM00060550	,87.58741258741259,87.58741258741259
AGM00060559	,146.30718954248366,146.30718954248366
AGM00060571	,136.05610561056105,136.05610561056105
AJ000037675	,82.3953488372093,82.3953488372093
AJ000037735	,98.47887323943662,98.47887323943662
AJ000037756	,50.666666666666664,50.666666666666664
AJ000037972	,121.17283950617283,121.17283950617283
AM000037693	,27.513513513513512,27.513513513513512
AM000037711	,86.77777777777777,86.77777777777777
AM000037789	,68.0054794520548,68.0054794520548
AM000037897	,-0.30952380952380953,-0.30952380952380953
AR000000011	,138.12916666666666,138.12916666666666
AR000087065	,178.58052434456928,178.58052434456928
AR000870470	,107.38082191780822,107.38082191780822
ARM00087645	,77.57768924302789,77.57768924302789
ARM00087774	,2.4657534246575343,2.4657534246575343
ARM00087909	,38.8034188034188,38.8034188034188
ASN00003003	,214.73553719008265,214.73553719008265
ASN00003030	,207.9196675900277,207.9196675900277
ASN00003051	,170.39344262295083,170.39344262295083
ASN00005016	,194.46027397260275,194.46027397260275
ASN00005058	,214.2803738317757,214.2803738317757
ASN00006099	,152.43714285714285,152.43714285714285
ASN00009114	,138.36813186813185,138.36813186813185
ASN00009534	,100.31818181818181,100.31818181818181
ASN00009642	,115.19444444444444,115.19444444444444
ASN00010092	,119.78630136986301,119.78630136986301
ASN00010524	,103.78247734138972,103.78247734138972
ASN00010626	,108.37912087912088,108.37912087912088
ASN00010647	,104.9068493150685,104.9068493150685
ASN00012090	,137.7410468319559,137.7410468319559
ASN00012219	,140.8523676880223,140.8523676880223
ASN00014040	,230.77333333333334,230.77333333333334
ASN00014142	,213.71554252199414,213.71554252199414
ASN00014508	,218.67123287671234,218.67123287671234
ASN00014703	,239.60821917808218,239.60821917808218
ASN00015135	,203.44657534246576,203.44657534246576
ASN00015528	,163.92582417582418,163.92582417582418
ASN00016032	,104.7,104.7
ASN00017031	,139.19060773480663,139.19060773480663
ASN00019017	,111.35922330097087,111.35922330097087
ASN00022803	,128.03116147308782,128.03116147308782
ASN00023031	,116.76,116.76
ASN00023343	,107.0677966101695,107.0677966101695
ASN00023763	,71.13736263736264,71.13736263736264
ASN00024024	,88.633608815427,88.633608815427
ASN00024045	,96.35897435897436,96.35897435897436
ASN00025050	,89.3972602739726,89.3972602739726
ASN00026091	,79.01917808219179,79.01917808219179
ASN00027042	,212.52328767123288,212.52328767123288
ASN00028008	,210.43287671232878,210.43287671232878
ASN00030018	,181.84931506849315,181.84931506849315
ASN00030024	,168.64657534246575,168.64657534246575
ASN00030045	,165.0082644628099,165.0082644628099
ASN00031017	,210.53150684931506,210.53150684931506
ASN00032037	,189.44628099173553,189.44628099173553
ASN00033090	,163.31360946745562,163.31360946745562
ASN00039039	,144.56986301369864,144.56986301369864
ASN00040062	,138.98009950248758,138.98009950248758
ASN00040101	,148.9470588235294,148.9470588235294
ASN00040158	,114.60891089108911,114.60891089108911
ASN00040428	,146.37534246575342,146.37534246575342
ASN00041100	,113.37696335078535,113.37696335078535
ASN00044010	,138.34794520547945,138.34794520547945
ASN00047016	,114.9171270718232,114.9171270718232
ASN00048015	,136.5536231884058,136.5536231884058
ASN00050031	,121.55371900826447,121.55371900826447
ASN00050052	,99.76323119777159,99.76323119777159
ASN00051039	,122.43137254901961,122.43137254901961
ASN00056013	,73.01392757660167,73.01392757660167
ASN00062013	,102.05917159763314,102.05917159763314
ASN00062100	,78.31893687707641,78.31893687707641
ASN00063291	,67.73846153846154,67.73846153846154
ASN00069138	,135.7150997150997,135.7150997150997
ASN00070005	,54.254901960784316,54.254901960784316
ASN00070080	,66.66666666666667,66.66666666666667
ASN00070263	,78.48076923076923,78.48076923076923
ASN00070278	,42.48888888888889,42.48888888888889
ASN00070317	,52.125,52.125
ASN00073038	,90.38483965014578,90.38483965014578
ASN00079080	,84.52941176470588,84.52941176470588
ASN00080091	,83.97252747252747,83.97252747252747
ASN00081084	,93.25753424657535,93.25753424657535
ASN00081123	,99.32786885245902,99.32786885245902
ASN00082137	,98.78735632183908,98.78735632183908
ASN00086127	,99.5,99.5
ASN00086364	,83.03899721448468,83.03899721448468
ASN00087168	,83.14327485380117,83.14327485380117
ASN00088023	,77.17808219178082,77.17808219178082
ASN00088110	,79.38622754491018,79.38622754491018
ASN00089085	,68.60445682451254,68.60445682451254
ASN00090048	,85.43150684931507,85.43150684931507
ASN00090135	,84.02486187845304,84.02486187845304
ASN00091107	,65.14749262536873,65.14749262536873
ASN00092019	,36.016438356164386,36.016438356164386
ASN00093003	,45.45528455284553,45.45528455284553
ASN00097014	,57.96335078534032,57.96335078534032
AU000005010	,51.85205479452055,51.85205479452055
AYM00089057	,-57.56711409395973,-57.56711409395973
AYM00089063	,-64.57042253521126,-64.57042253521126
AYM00089564	,-124.92054794520548,-124.92054794520548
BGM00041907	,196.30927835051546,196.30927835051546
BKM00014654	,47.673972602739724,47.673972602739724
BLM00085123	,207.37818181818182,207.37818181818182
BLM00085210	,153.80555555555554,153.80555555555554
BLM00085312	,92.60344827586206,92.60344827586206
BNM00065330	,215.88702928870293,215.88702928870293
BOM00026863	,29.631178707224336,29.631178707224336
BR002245032	,167.22171945701356,167.22171945701356
BR003252024	,175.0,175.0
BR00E3-0070	,159.75,159.75
BR038837530	,208.0,208.0
BR047099650	,184.0,184.0
BR047635180	,213.0,213.0
BRM00082106	,220.0,220.0
BRM00082181	,227.0,227.0
BRM00082445	,237.5,237.5
BRM00083309	,214.0,
BRM00083423	,166.0,166.0
BRM00083492	,199.0,
CA001012710	,49.86486486486486,49.86486486486486
CA00101Q655	,68.31189710610933,68.31189710610933
CA001020270	,58.42191780821918,58.42191780821918
CA001021737	,49.03846153846154,49.03846153846154
CA001021830	,62.23013698630137,62.23013698630137
CA001021989	,38.19642857142857,38.19642857142857
CA001026639	,49.45530726256983,49.45530726256983
CA001030605	,60.78082191780822,60.78082191780822
